CODE_IRIS,NOM_IRIS,Nb_Pharmacies,Nb_Commerces,Nb_Restaurants,Nb_Transports,Nb_VLille,Nb_ParcsEnfants,Nb_ComplexesSportifs,Nb_Ecoles,Nb_Bars,Nb_Parkings,Surface_Verte_m2,Bruit_Leq_dB,Norm_Bruit,Norm_Nb_Pharmacies,Norm_Nb_Commerces,Norm_Nb_Restaurants,Norm_Nb_Transports,Norm_Nb_VLille,Norm_Nb_ParcsEnfants,Norm_Nb_ComplexesSportifs,Norm_Nb_Ecoles,Norm_Nb_Bars,Norm_Nb_Parkings,Norm_Surface_Verte_m2,Norm_Bruit_Leq_dB,Norm_Norm_Bruit,Prix_Median_m2,Norm_Prix
593502601,Les Sarts 1,1,0,1,2,0,1,0,2,1,3,21052.01924146857,60.08565211782286,0.9508657654173148,0.25,0.0,0.02439024390243903,0.125,0.0,0.09090909090909091,0.0,0.08333333333333333,0.02272727272727273,0.04054054054054054,0.02158857974794251,0.04913423458268518,0.9508657654173148,3436.5,0.489089184060721
593502602,Les Sarts 2,0,1,0,4,0,0,0,3,1,1,1982.989217998788,60.09495256140819,0.9506822673209908,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.125,0.02272727272727273,0.01351351351351351,0.002033530388750045,0.04931773267900916,0.9506822673209908,2602.0,0.7530044275774826
593502603,Les Sarts 3,0,0,2,2,1,6,4,6,1,3,55697.92182876421,61.02618900527287,0.9323089378008613,0.0,0.0,0.04878048780487805,0.125,0.2,0.5454545454545454,0.6666666666666666,0.25,0.02272727272727273,0.04054054054054054,0.05711751511353186,0.06769106219913869,0.9323089378008613,2990.0,0.6302972802024035
593502702,Bourg Délivrance 2,0,0,1,6,0,8,1,5,0,18,20278.42559271911,58.15101713799532,0.9890361852067554,0.0,0.0,0.02439024390243903,0.375,0.0,0.7272727272727273,0.1666666666666667,0.2083333333333333,0.0,0.2432432432432433,0.0207952692352088,0.01096381479324455,0.9890361852067554,3436.5,0.489089184060721
593502703,Bourg Délivrance 3,3,0,1,4,0,1,1,5,0,22,39527.09943055562,95.8772945886506,0.2446953341420304,0.75,0.0,0.02439024390243903,0.25,0.0,0.09090909090909091,0.1666666666666667,0.2083333333333333,0.0,0.2972972972972973,0.0405345410563037,0.7553046658579696,0.2446953341420304,3436.5,0.489089184060721
593502704,Bourg Délivrance 4,0,0,0,4,0,2,0,1,0,8,18284.63630783164,66.02706997417098,0.8336413711072819,0.0,0.0,0.0,0.25,0.0,0.1818181818181818,0.0,0.04166666666666666,0.0,0.1081081081081081,0.01875066351431911,0.1663586288927181,0.8336413711072819,3436.5,0.489089184060721
593502705,Bourg Délivrance 5,1,0,2,4,0,1,2,7,3,7,14774.26921740237,64.96731813014713,0.8545503142313383,0.25,0.0,0.04878048780487805,0.25,0.0,0.09090909090909091,0.3333333333333333,0.2916666666666667,0.06818181818181818,0.0945945945945946,0.01515082641522483,0.1454496857686616,0.8545503142313383,3436.5,0.489089184060721
593502801,Mitterie 1,1,3,3,7,2,2,0,3,1,27,21304.86399100072,102.9287299718084,0.1055702529252923,0.25,1.0,0.07317073170731707,0.4375,0.4,0.1818181818181818,0.0,0.125,0.02272727272727273,0.3648648648648649,0.02184786884399137,0.8944297470747077,0.1055702529252923,2632.0,0.743516761543327
593502802,Mitterie 2,0,1,15,16,0,11,5,24,1,74,765827.0353382004,106.0351799471298,0.04427987988371464,0.0,0.3333333333333333,0.3658536585365854,1.0,0.0,1.0,0.8333333333333334,1.0,0.02272727272727273,1.0,0.785345948808652,0.9557201201162854,0.04427987988371464,3436.5,0.489089184060721
593502901,Mont Ã  Camp-Marais 1,2,0,2,3,1,1,0,1,2,19,34111.60732472069,64.07850594049333,0.8720866116449631,0.5,0.0,0.04878048780487805,0.1875,0.2,0.09090909090909091,0.0,0.04166666666666666,0.04545454545454546,0.2567567567567567,0.03498102232443431,0.1279133883550369,0.8720866116449631,3436.5,0.489089184060721
593502902,Mont Ã  Camp-Marais 2,1,0,4,2,0,0,0,4,1,8,15379.54417986518,64.96408182866915,0.8546141665793358,0.25,0.0,0.0975609756097561,0.125,0.0,0.0,0.0,0.1666666666666667,0.02272727272727273,0.1081081081081081,0.01577152824181359,0.1453858334206643,0.8546141665793358,3436.5,0.489089184060721
593502903,Mont Ã  Camp-Marais 3,2,0,1,5,0,4,0,1,0,5,14899.41214074514,62.73554929773213,0.8985831959348751,0.5,0.0,0.02439024390243903,0.3125,0.0,0.3636363636363636,0.0,0.04166666666666666,0.0,0.06756756756756757,0.01527915890198003,0.1014168040651249,0.8985831959348751,3436.5,0.489089184060721
593502904,Mont Ã  Camp-Marais 4,0,0,0,1,1,2,0,0,1,5,36344.71837900632,60.34576802184957,0.945733668999057,0.0,0.0,0.0,0.0625,0.2,0.1818181818181818,0.0,0.0,0.02272727272727273,0.06756756756756757,0.03727104949610311,0.05426633100094298,0.945733668999057,3436.5,0.489089184060721
593503001,Sud Marais 1,1,0,3,6,2,1,6,4,0,10,45173.15320090277,62.45823913850556,0.904054535644911,0.25,0.0,0.07317073170731707,0.375,0.4,0.09090909090909091,1.0,0.1666666666666667,0.0,0.1351351351351351,0.04632449786207223,0.09594546435508902,0.904054535644911,2657.0,0.7356103731815307
593503002,Sud Marais 2,0,1,0,6,0,1,0,3,0,8,35345.48172415044,105.4734020089037,0.05536377940694687,0.0,0.3333333333333333,0.0,0.375,0.0,0.09090909090909091,0.0,0.125,0.0,0.1081081081081081,0.03624634493152003,0.9446362205930531,0.05536377940694687,2123.0,0.9044908285895004
593503003,Sud Marais 3,0,0,0,5,0,4,0,0,0,22,18076.09126874149,99.07717710691428,0.1815615335684954,0.0,0.0,0.0,0.3125,0.0,0.3636363636363636,0.0,0.0,0.0,0.2972972972972973,0.01853680321161869,0.8184384664315046,0.1815615335684954,3436.5,0.489089184060721
